BPCOD,BP1_1,BP1_2C,BP1_3C,BP1_4,BP1_5,BP1_9,BP1_11,BP1_34
2,2,1,1,4,1,NA,NA,4000
15,2,1,1,9,9,NA,NA,NA
4,12,1,1,3,2,NA,NA,20000
4,9,1,1,4,2,NA,NA,9999999
3,4,1,1,9,4,NA,NA,400
5,8,1,1,2,1,1,3,3000
2,4,1,1,4,2,1,3,3000
2,99,1,1,3,2,NA,NA,1500
8,11,1,1,2,2,NA,NA,2500
2,5,1,1,4,1,NA,NA,5000
10,9,1,1,3,1,3,4,0
11,6,1,1,3,1,1,4,80000
10,11,1,1,2,3,4,8,1500
10,9,1,1,2,3,1,4,6000
4,12,1,1,4,2,2,4,1500
3,10,1,1,2,1,NA,NA,NA
3,7,1,1,2,1,NA,NA,NA
9,11,1,1,1,2,2,5,NA
11,11,1,1,4,1,2,3,6000
2,12,1,1,4,1,NA,NA,1400
9,10,1,1,2,2,1,5,0
2,12,1,1,1,1,NA,NA,9999999
7,7,1,1,2,2,NA,NA,30000
8,11,1,1,1,2,NA,NA,2000
1,8,1,1,3,1,NA,NA,0
15,10,1,1,2,1,9,9,0
8,12,1,1,1,1,NA,NA,9999999
5,1,1,1,1,1,3,3,2000
11,11,1,1,2,1,1,4,0
2,6,1,1,4,1,NA,NA,3500
3,5,1,1,3,2,NA,NA,300
3,99,1,1,4,2,NA,NA,1200
4,1,1,1,4,2,NA,NA,4000
2,2,1,1,1,1,NA,NA,9999999
4,6,1,1,4,2,NA,NA,12000
3,6,1,1,3,2,NA,NA,NA
3,3,1,1,2,2,NA,NA,0
1,1,1,1,1,2,2,7,150000
2,6,1,1,3,1,NA,NA,10000
3,99,1,1,4,2,NA,NA,0
3,12,1,1,4,2,NA,NA,800
3,2,1,1,1,1,NA,NA,NA
13,12,1,1,9,3,1,9,NA
3,3,1,1,4,4,NA,NA,400
5,11,1,1,1,1,4,8,11500
2,5,1,1,1,1,NA,NA,5000
3,8,1,1,4,2,NA,NA,0
2,2,1,1,3,1,NA,NA,600
7,12,1,1,1,2,NA,NA,NA
9,1,1,1,1,2,9,9,0
4,8,1,1,2,2,1,4,NA
2,9,1,1,4,2,2,3,3000
2,3,1,1,2,3,1,4,NA
8,6,1,1,2,4,NA,NA,15000
9,8,1,1,4,1,NA,NA,0
8,11,1,1,1,4,NA,NA,1000
2,1,1,1,3,1,NA,NA,1200
3,10,1,1,4,1,NA,NA,3000
1,1,1,1,2,1,NA,NA,0
7,9,1,1,2,2,NA,NA,NA
2,12,1,1,4,1,NA,NA,1400
2,5,1,1,2,1,NA,NA,0
3,6,1,1,3,1,NA,NA,NA
5,6,1,1,2,1,2,3,6000
1,99,1,1,4,1,NA,NA,20000
6,8,1,1,3,1,1,5,3000
9,5,1,1,2,2,2,9,0
8,1,1,1,3,2,NA,NA,400
2,4,1,1,4,1,NA,NA,2500
2,3,1,1,3,1,NA,NA,6000
8,4,1,1,1,1,NA,NA,3000
3,4,1,1,2,3,NA,NA,3500
1,6,1,1,4,2,2,4,50000
10,7,1,1,1,3,2,8,0
4,10,1,1,2,2,NA,NA,0
3,5,1,1,4,2,NA,NA,9999999
1,10,1,1,4,1,NA,NA,0
3,2,1,1,3,2,NA,NA,200
2,4,1,1,4,1,NA,NA,9999999
13,4,1,1,4,4,2,4,0
4,12,1,1,4,2,NA,NA,300
7,5,1,1,2,4,NA,NA,500
15,12,1,1,1,8,NA,NA,0
1,2,1,1,4,1,4,3,2500
3,6,1,1,1,1,NA,NA,NA
10,99,1,1,2,8,1,9,0
4,12,1,1,4,2,1,6,0
3,3,1,1,9,2,NA,NA,200
2,6,1,1,4,2,NA,NA,3000
9,2,1,1,1,2,NA,NA,0
9,2,1,1,2,2,1,3,0
4,10,1,1,3,2,NA,NA,8000
1,5,1,1,4,1,NA,NA,30000
3,6,1,1,4,2,NA,NA,85
9,8,1,1,2,1,1,9,NA
2,5,1,1,4,2,NA,NA,4500
3,99,1,1,4,2,NA,NA,0
8,8,1,1,2,1,NA,NA,2000
3,9,1,1,2,1,NA,NA,3000
5,11,1,1,1,5,1,3,100000
13,10,1,1,2,1,1,5,0
8,12,1,1,1,4,NA,NA,1200
9,5,1,1,2,2,1,5,0
3,99,1,1,4,2,NA,NA,1200
3,8,1,1,3,1,NA,NA,0
4,12,1,1,4,2,2,3,4000
9,6,1,1,2,1,1,5,NA
5,6,1,1,2,5,1,2,0
4,12,1,1,2,2,2,8,NA
11,10,1,1,2,2,1,4,0
7,6,1,1,2,3,NA,NA,1200
2,12,1,1,3,5,NA,NA,600
8,2,1,1,2,1,NA,NA,8000
3,9,1,1,4,2,NA,NA,1500
3,2,1,1,3,1,NA,NA,2000
4,5,1,1,3,2,NA,NA,10000
10,5,1,1,3,4,2,4,NA
3,8,1,1,4,2,NA,NA,9999999
2,2,1,1,2,1,NA,NA,2000
10,10,1,1,2,2,1,4,NA
2,10,1,1,2,1,NA,NA,2000
2,4,1,1,2,1,NA,NA,7000
10,2,1,1,1,1,1,4,0
3,7,1,1,4,2,NA,NA,300
1,2,1,1,4,1,NA,NA,1500
5,4,1,1,3,1,2,3,10000
2,6,1,1,1,1,NA,NA,2000
2,99,1,1,3,1,2,3,10000
3,5,1,1,2,1,NA,NA,NA
2,6,1,1,4,1,NA,NA,9999999
2,5,1,1,4,2,NA,NA,2000
2,4,1,1,4,1,NA,NA,NA
3,1,1,1,1,2,NA,NA,500
8,1,1,1,1,2,NA,NA,500
2,1,1,1,2,1,NA,NA,250
3,6,1,1,3,2,NA,NA,9999999
2,9,1,1,1,3,NA,NA,6000
3,8,1,1,4,2,NA,NA,8000
2,9,1,1,4,1,NA,NA,6000
3,99,1,1,9,1,NA,NA,6000
9,10,1,1,2,2,1,9,NA
1,6,1,1,2,5,NA,NA,190000
8,5,1,1,2,2,NA,NA,1000
5,12,1,1,2,5,1,5,700
9,3,1,1,1,2,9,9,NA
5,9,1,1,3,1,1,5,NA
2,3,1,1,1,1,NA,NA,4000
8,11,1,1,2,8,NA,NA,2500
9,11,1,1,2,2,1,9,NA
2,2,1,1,4,1,NA,NA,3500
2,99,1,1,3,1,NA,NA,6000
4,5,1,1,1,2,NA,NA,38000
5,11,1,1,3,5,2,9,0
3,7,1,1,2,2,NA,NA,800
10,11,1,1,2,1,1,6,0
4,5,1,1,2,2,NA,NA,130000
5,4,1,1,4,1,2,3,8000
5,6,1,1,2,1,1,3,6000
9,11,1,1,1,3,1,9,0
2,6,1,1,2,1,NA,NA,10000
2,6,1,1,2,1,NA,NA,2000
8,11,1,1,2,8,NA,NA,2000
10,10,1,1,3,1,1,4,9999999
3,2,1,1,1,1,NA,NA,2500
5,1,1,1,2,5,1,4,1500
3,6,1,1,3,2,NA,NA,100
2,9,1,1,3,5,NA,NA,3000
8,3,1,1,2,3,NA,NA,30000
2,8,1,1,2,1,NA,NA,800
2,7,1,1,4,1,NA,NA,1000
3,12,1,1,4,1,NA,NA,NA
1,99,1,1,4,1,NA,NA,0
6,1,1,1,3,2,NA,NA,14000
4,2,1,1,3,2,NA,NA,300
8,7,1,1,1,2,NA,NA,1500
1,12,1,1,2,1,NA,NA,9999999
9,8,1,1,2,2,NA,NA,NA
2,1,1,1,3,1,NA,NA,3000
3,8,1,1,4,2,NA,NA,NA
9,2,1,1,2,2,1,6,NA
9,99,1,1,1,3,1,9,0
5,11,1,1,1,5,1,3,0
2,3,1,1,2,1,NA,NA,9999999
3,6,1,1,4,1,NA,NA,3000
2,1,1,1,2,1,NA,NA,3500
7,4,1,1,2,4,NA,NA,1500
8,9,1,1,3,8,NA,NA,1800
11,2,1,1,2,5,1,3,0
2,1,1,1,3,1,NA,NA,8000
8,12,1,1,3,2,NA,NA,0
5,8,1,1,3,5,1,5,25000
4,11,1,1,2,2,1,2,NA
10,3,1,1,2,2,3,8,0
5,7,1,1,2,1,1,9,400
2,12,1,1,3,1,NA,NA,NA
4,3,1,1,4,2,NA,NA,15000
9,12,1,1,2,3,2,4,NA
1,6,1,1,4,1,NA,NA,60000
11,5,1,1,2,2,1,4,0
5,11,1,1,4,1,3,5,16000
7,8,1,1,2,2,NA,NA,50
7,3,1,1,2,2,NA,NA,2500
2,8,1,1,3,2,NA,NA,400
4,12,1,1,1,2,3,3,1500
3,12,1,1,3,2,NA,NA,2500
10,9,1,1,2,5,NA,NA,0
3,1,1,1,4,4,NA,NA,400
9,10,1,1,2,2,1,4,0
2,11,1,1,3,1,NA,NA,4000
2,4,1,1,3,1,NA,NA,2500
9,3,1,1,3,2,2,9,0
2,5,1,1,3,1,NA,NA,5000
4,8,1,1,4,2,4,4,500
3,9,1,1,3,2,NA,NA,1800
3,5,1,1,4,2,NA,NA,300
2,11,1,1,3,1,NA,NA,2500
3,3,1,1,3,1,NA,NA,NA
8,1,1,1,2,1,NA,NA,9999999
2,1,1,1,4,1,NA,NA,10000
3,99,1,1,2,1,NA,NA,0
2,8,1,1,4,1,NA,NA,1000
4,7,1,1,3,2,NA,NA,800
2,8,1,1,2,1,NA,NA,16000
3,4,1,1,3,2,NA,NA,300
2,8,1,1,4,2,NA,NA,1000
10,8,1,1,2,2,1,4,NA
11,11,1,1,1,5,1,3,0
4,11,1,1,2,2,NA,NA,1000
3,3,1,1,2,1,NA,NA,NA
8,1,1,1,2,8,NA,NA,25000
2,99,1,1,1,1,NA,NA,1000
11,4,1,1,2,1,2,5,0
5,3,1,1,3,1,1,5,NA
2,4,1,1,2,1,NA,NA,5000
3,99,1,1,4,2,NA,NA,0
5,1,1,1,2,1,2,5,0
2,3,1,1,2,1,NA,NA,2000
2,6,1,1,4,1,NA,NA,2000
4,9,1,1,4,2,2,4,500
5,4,1,1,3,1,9,9,150
7,1,1,1,2,4,NA,NA,1000
3,3,1,1,3,2,NA,NA,10000
4,8,1,1,3,2,1,3,0
3,99,1,1,4,2,NA,NA,0
10,1,1,1,1,1,1,4,NA
13,10,1,1,3,6,1,5,0
4,11,1,1,2,2,NA,NA,NA
5,8,1,1,4,3,1,9,5000
3,99,1,1,4,4,NA,NA,400
11,6,1,1,1,2,1,4,0
4,11,1,1,4,2,1,5,3000
8,10,1,1,2,4,NA,NA,4500
9,99,1,1,3,2,NA,NA,NA
8,3,1,1,2,4,NA,NA,3500
3,7,1,1,3,1,NA,NA,2000
2,9,1,1,4,2,NA,NA,3000
9,3,1,1,2,1,1,4,0
2,12,1,1,4,1,NA,NA,8000
3,99,1,1,1,2,NA,NA,9999999
7,4,1,1,3,1,NA,NA,500
10,8,1,1,3,2,2,8,0
8,12,1,1,2,2,NA,NA,5000
2,8,1,1,3,1,NA,NA,1500
2,4,1,1,2,5,NA,NA,5000
2,99,1,1,4,2,NA,NA,9999999
4,99,1,1,1,2,NA,NA,9999999
2,7,1,1,4,2,NA,NA,1500
3,3,1,1,2,2,NA,NA,12000
10,99,1,1,9,2,1,5,0
5,2,1,1,3,1,2,3,0
3,7,1,1,4,1,NA,NA,15000
3,12,1,1,3,2,NA,NA,NA
2,12,1,1,3,5,NA,NA,3000
4,11,1,1,1,2,1,4,NA
8,12,1,1,2,2,NA,NA,5000
3,7,1,1,3,2,NA,NA,300
3,7,1,1,4,1,NA,NA,9999999
11,10,1,1,3,2,1,4,9999999
5,12,1,1,2,1,1,3,NA
2,11,1,1,4,2,NA,NA,600
1,6,1,1,2,1,2,8,80000
4,11,1,1,2,2,NA,NA,4000
8,2,1,1,2,2,NA,NA,30000
2,10,1,1,4,3,NA,NA,5000
4,10,1,1,2,2,NA,NA,50000
2,12,1,1,4,1,NA,NA,9999999
2,7,1,1,3,1,NA,NA,9999999
3,11,1,1,1,2,NA,NA,0
9,2,1,1,1,1,NA,NA,NA
5,3,1,1,1,6,1,5,NA
3,9,1,1,9,2,NA,NA,NA
2,3,1,1,2,1,NA,NA,10000
4,12,1,1,4,2,NA,NA,6000
7,1,1,1,9,2,NA,NA,10000
5,4,1,1,1,1,1,3,9000
4,2,1,1,4,2,NA,NA,15000
8,2,1,1,2,5,NA,NA,3000
4,9,1,1,4,2,9,9,6000
7,7,1,1,3,9,NA,NA,0
3,11,1,1,2,2,NA,NA,NA
2,2,1,1,2,1,NA,NA,3500
2,10,1,1,4,1,NA,NA,3000
10,8,1,1,4,1,1,4,0
3,11,1,1,3,2,NA,NA,200
9,6,1,1,4,2,1,5,0
8,5,1,1,3,1,NA,NA,9999999
4,11,1,1,4,2,NA,NA,5000
2,5,1,1,4,1,NA,NA,800
10,8,1,1,2,2,1,5,NA
9,9,1,1,1,2,1,9,0
2,12,1,1,4,1,NA,NA,NA
4,10,1,1,3,2,NA,NA,0
1,12,1,1,4,1,NA,NA,9999999
11,4,1,1,3,1,5,8,0
9,11,1,1,1,3,NA,NA,NA
8,9,1,1,2,1,NA,NA,NA
3,1,1,1,1,2,NA,NA,800
4,11,1,1,2,2,NA,NA,500
8,5,1,1,2,4,NA,NA,25000
3,9,1,1,4,2,NA,NA,1500
8,12,1,1,1,2,NA,NA,500
2,8,1,1,4,2,NA,NA,9999999
3,12,1,1,4,2,NA,NA,3000
9,1,1,1,2,3,1,5,NA
8,10,1,1,1,8,NA,NA,1000
8,11,1,1,2,2,NA,NA,5000
3,5,1,1,4,2,NA,NA,0
9,5,1,1,2,2,2,4,0
10,1,1,1,2,1,2,4,NA
2,2,1,1,4,1,NA,NA,800
3,99,1,1,9,4,NA,NA,400
10,12,1,1,2,1,1,6,NA
3,10,1,1,3,1,NA,NA,NA
4,4,1,1,4,2,2,2,NA
2,3,1,1,4,1,NA,NA,12000
2,8,1,1,4,1,NA,NA,9999999
9,3,1,1,2,2,1,4,0
2,4,1,1,4,1,NA,NA,3000
2,2,1,1,2,4,NA,NA,500
2,4,1,1,2,1,NA,NA,6000
3,8,1,1,4,1,NA,NA,23000
3,99,1,1,4,1,NA,NA,9999999
10,4,1,1,1,2,1,5,NA
7,5,1,1,9,4,NA,NA,NA
7,8,1,1,3,9,NA,NA,4900
3,99,1,1,4,2,NA,NA,5000
10,4,1,1,3,1,1,6,NA
2,99,1,1,4,2,1,3,2000
3,4,1,1,9,2,NA,NA,200
6,1,1,1,3,1,1,4,5000
2,99,1,1,2,1,NA,NA,2000
4,99,1,1,2,2,NA,NA,3500
5,11,1,1,4,1,2,8,1500
5,2,1,1,4,1,3,8,300
2,9,1,1,4,2,NA,NA,5000
8,12,1,1,1,2,NA,NA,180
8,3,1,1,2,2,NA,NA,4000
8,3,1,1,2,8,NA,NA,8000
8,11,1,1,9,2,NA,NA,800
3,8,1,1,4,2,NA,NA,500
9,9,1,1,2,3,1,6,0
5,4,1,1,3,1,2,4,15000
1,2,1,1,4,1,NA,NA,0
6,1,1,1,4,2,1,3,0
4,11,1,1,4,2,NA,NA,NA
3,1,1,1,3,1,NA,NA,NA
2,2,1,1,1,1,NA,NA,3000
11,1,1,1,4,5,6,4,0
3,1,1,1,4,2,NA,NA,300
2,1,1,1,3,1,NA,NA,1500
9,1,1,1,2,2,9,4,0
7,1,1,1,2,5,NA,NA,1500
9,6,1,1,1,3,1,4,10000
10,7,1,1,2,1,1,6,0
6,11,1,1,2,1,NA,NA,500
4,4,1,1,3,2,NA,NA,5000
10,7,1,1,4,1,1,6,0
1,2,1,1,2,4,NA,NA,55000
4,6,1,1,1,2,2,9,200
9,11,1,1,2,2,NA,NA,NA
2,6,1,1,4,2,NA,NA,5000
2,1,1,1,4,1,NA,NA,11200
7,12,1,1,3,1,NA,NA,500
4,12,1,1,1,2,1,9,NA
8,2,1,1,2,2,NA,NA,1500
3,10,1,1,3,3,NA,NA,300
15,99,1,1,2,1,6,8,3000
2,99,1,1,2,1,NA,NA,12000
9,7,1,1,1,2,NA,NA,0
2,99,1,1,4,2,NA,NA,5000
2,99,1,1,4,2,NA,NA,4000
1,7,1,1,2,1,NA,NA,32000
13,12,1,1,2,3,1,6,NA
2,99,1,1,4,1,NA,NA,1500
2,99,1,1,4,1,NA,NA,9999999
3,4,1,1,4,1,NA,NA,0
9,9,1,1,2,1,2,9,0
7,11,1,1,1,2,NA,NA,900
9,4,1,1,3,2,1,9,0
1,3,1,1,1,1,NA,NA,NA
5,7,1,1,3,1,2,4,5000
2,1,1,1,4,1,NA,NA,1600
2,2,1,1,4,2,NA,NA,1500
3,10,1,1,3,2,NA,NA,800
7,8,1,1,2,8,NA,NA,0
7,5,1,1,2,2,NA,NA,0
11,9,1,1,3,2,1,5,0
7,6,1,1,1,1,NA,NA,10
4,5,1,1,2,2,NA,NA,0
2,9,1,1,3,1,NA,NA,3000
4,8,1,1,1,2,NA,NA,25000
7,12,1,1,3,2,NA,NA,NA
5,3,1,1,3,4,1,4,8000
10,8,1,1,2,1,3,3,0
2,2,1,1,2,1,NA,NA,50000
2,99,1,1,9,2,NA,NA,7000
4,2,1,1,3,2,NA,NA,1000
8,9,1,1,1,8,NA,NA,3000
5,2,1,1,3,1,3,8,1000
10,11,1,1,2,2,1,5,NA
8,99,1,1,1,2,NA,NA,1000
8,2,1,1,9,4,NA,NA,3000
2,10,1,1,4,1,NA,NA,2700
2,99,1,1,3,1,NA,NA,9999999
2,10,1,1,4,1,NA,NA,1000
9,99,1,1,1,3,2,9,0
